         313219 function calls (308076 primitive calls) in 21.950 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.041    0.041 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/services.py:514(canonicalize_bootstrap_address)
        1    0.000    0.000    0.041    0.041 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/services.py:381(get_ray_address_from_environment)
        1    0.000    0.000    0.041    0.041 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/services.py:370(find_gcs_addresses)
        1    0.002    0.002    0.041    0.041 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/services.py:277(_find_address_from_flag)
      224    0.000    0.000    0.036    0.000 <frozen importlib._bootstrap_external>:1496(find_spec)
      224    0.001    0.000    0.036    0.000 <frozen importlib._bootstrap_external>:1464(_get_spec)
        1    0.000    0.000    0.034    0.034 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/aiohttp/web.py:1(<module>)
      431    0.005    0.000    0.033    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
2253/1502    0.002    0.000    0.032    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/thirdparty_files/psutil/_psosx.py:343(wrapper)
        1    0.000    0.000    0.031    0.031 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/prometheus_client/__init__.py:1(<module>)
        3    0.000    0.000    0.029    0.010 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/worker.py:721(deserialize_objects)
        1    0.001    0.001    0.029    0.029 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/node.py:1424(start_ray_processes)
        3    0.001    0.000    0.029    0.010 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/serialization.py:393(deserialize_objects)
        7    0.029    0.004    0.029    0.004 {built-in method posix.read}
        1    0.000    0.000    0.029    0.029 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/aiohttp/web_app.py:1(<module>)
       42    0.000    0.000    0.028    0.001 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/serialization.py:263(_deserialize_object)
      273    0.001    0.000    0.027    0.000 /usr/local/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/re/__init__.py:272(_compile)
      171    0.000    0.000    0.027    0.000 /usr/local/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/re/__init__.py:225(compile)
        3    0.019    0.006    0.025    0.008 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/function_manager.py:228(export)
       28    0.000    0.000    0.025    0.001 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/attr/_make.py:1489(wrap)
       66    0.001    0.000    0.025    0.000 /usr/local/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/re/_compiler.py:738(compile)
       14    0.025    0.002    0.025    0.002 {method 'to_pybytes' of 'ray._raylet.Buffer' objects}
       20    0.001    0.000    0.023    0.001 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/proglog/proglog.py:231(__call__)
       30    0.001    0.000    0.023    0.001 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/imageio/core/imopen.py:15(imopen)
        1    0.000    0.000    0.023    0.023 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/aiohttp/helpers.py:1(<module>)
      751    0.000    0.000    0.022    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/thirdparty_files/psutil/__init__.py:331(__init__)
      751    0.002    0.000    0.022    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/thirdparty_files/psutil/__init__.py:334(_init)
        1    0.000    0.000    0.021    0.021 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/aiohttp/http_websocket.py:1(<module>)
      137    0.001    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
      137    0.020    0.000    0.020    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.019    0.019 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/aiohttp/tracing.py:1(<module>)
        1    0.000    0.000    0.019    0.019 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/prometheus_client/exposition.py:1(<module>)
      751    0.000    0.000    0.019    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/thirdparty_files/psutil/__init__.py:713(create_time)
       76    0.001    0.000    0.019    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/cloudpickle/cloudpickle_fast.py:76(dumps)
      751    0.001    0.000    0.018    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/thirdparty_files/psutil/_psosx.py:469(create_time)
1166/1163    0.001    0.000    0.017    0.000 {built-in method builtins.next}
       20    0.000    0.000    0.017    0.001 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/proglog/proglog.py:345(callback)
        4    0.000    0.000    0.017    0.004 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/tqdm/std.py:719(write)
       45    0.000    0.000    0.017    0.000 /usr/local/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/contextlib.py:132(__enter__)
      751    0.001    0.000    0.017    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/thirdparty_files/psutil/_common.py:470(wrapper)
        8    0.016    0.002    0.017    0.002 {built-in method _posixsubprocess.fork_exec}
        8    0.000    0.000    0.017    0.002 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/tqdm/std.py:728(external_write_mode)
       76    0.000    0.000    0.017    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/cloudpickle/cloudpickle_fast.py:731(dump)
      960    0.016    0.000    0.016    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.016    0.016 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/grpc/aio/__init__.py:1(<module>)
       76    0.002    0.000    0.016    0.000 {function CloudPickler.dump at 0x126d81440}
        5    0.000    0.000    0.016    0.003 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/tqdm/std.py:763(get_lock)
        1    0.000    0.000    0.016    0.016 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/tqdm/std.py:90(__init__)
        1    0.000    0.000    0.016    0.016 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/tqdm/std.py:116(create_mp_lock)
        1    0.000    0.000    0.016    0.016 /usr/local/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/context.py:70(RLock)
      751    0.001    0.000    0.016    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/thirdparty_files/psutil/_psosx.py:369(_get_kinfo_proc)
       66    0.000    0.000    0.015    0.000 /usr/local/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/re/_parser.py:972(parse)
      759    0.015    0.000    0.015    0.000 {built-in method psutil._psutil_osx.proc_kinfo_oneshot}
   233/66    0.001    0.000    0.015    0.000 /usr/local/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/re/_parser.py:449(_parse_sub)
