         292146 function calls (287096 primitive calls) in 16.003 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
1152/1052    0.007    0.000    0.010    0.000 {built-in method __new__ of type object at 0x10b122fa8}
        1    0.000    0.000    0.010    0.010 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/aiohttp/web_urldispatcher.py:1(<module>)
       60    0.001    0.000    0.009    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/cloudpickle/cloudpickle_fast.py:76(dumps)
        1    0.000    0.000    0.009    0.009 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/aiohttp/client_reqrep.py:1(<module>)
        2    0.000    0.000    0.009    0.005 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/worker.py:721(deserialize_objects)
       66    0.000    0.000    0.009    0.000 /usr/local/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/re/_compiler.py:571(_code)
        2    0.000    0.000    0.009    0.005 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/serialization.py:393(deserialize_objects)
        1    0.000    0.000    0.009    0.009 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/aiohttp/web_request.py:1(<module>)
       28    0.000    0.000    0.009    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/serialization.py:263(_deserialize_object)
    65792    0.008    0.000    0.008    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/aiohttp/http_websocket.py:124(<genexpr>)
       26    0.000    0.000    0.008    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/attr/_make.py:901(add_repr)
        1    0.000    0.000    0.008    0.008 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/node.py:1198(start_gcs_server)
      226    0.001    0.000    0.008    0.000 <frozen abc>:105(__new__)
        1    0.000    0.000    0.008    0.008 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/node.py:1111(start_reaper_process)
        1    0.000    0.000    0.008    0.008 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/services.py:931(start_reaper)
        1    0.000    0.000    0.008    0.008 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/gunicorn/config.py:1(<module>)
       26    0.000    0.000    0.008    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/attr/_make.py:1841(_make_repr)
      189    0.001    0.000    0.008    0.000 /usr/local/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/typing.py:1563(__getitem__)
       10    0.008    0.001    0.008    0.001 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/experimental/internal_kv.py:33(_internal_kv_get)
       60    0.000    0.000    0.008    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/cloudpickle/cloudpickle_fast.py:731(dump)
       60    0.001    0.000    0.008    0.000 {function CloudPickler.dump at 0x1258b5620}
        1    0.000    0.000    0.008    0.008 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/node.py:1128(start_log_monitor)
        1    0.000    0.000    0.008    0.008 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/services.py:1314(start_gcs_server)
     4313    0.004    0.000    0.008    0.000 /usr/local/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/typing.py:1297(__setattr__)
      196    0.001    0.000    0.008    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/serialization.py:482(serialize)
       14    0.007    0.001    0.007    0.001 {method 'to_pybytes' of 'ray._raylet.Buffer' objects}
        1    0.000    0.000    0.007    0.007 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/services.py:972(start_log_monitor)
        1    0.000    0.000    0.007    0.007 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/gunicorn/workers/base.py:1(<module>)
   484/66    0.003    0.000    0.007    0.000 /usr/local/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/re/_compiler.py:37(_compile)
       98    0.001    0.000    0.007    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/serialization.py:433(_serialize_to_msgpack)
      254    0.001    0.000    0.007    0.000 /usr/local/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/typing.py:1572(copy_with)
      132    0.006    0.000    0.006    0.000 {built-in method io.open_code}
       79    0.000    0.000    0.006    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/cloudpickle/cloudpickle_fast.py:794(reducer_override)
      198    0.001    0.000    0.006    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/worker.py:596(get_serialization_context)
        1    0.000    0.000    0.006    0.006 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/aiosignal/__init__.py:1(<module>)
        2    0.000    0.000    0.006    0.003 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/serialization.py:60(pickle_dumps)
        5    0.000    0.000    0.006    0.001 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/node.py:927(_get_cached_port)
        2    0.003    0.002    0.006    0.003 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/function_manager.py:228(export)
       24    0.000    0.000    0.006    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/cloudpickle/cloudpickle_fast.py:682(_function_reduce)
      164    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
      592    0.001    0.000    0.005    0.000 /usr/local/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/typing.py:1258(__init__)
     2114    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
        2    0.000    0.000    0.005    0.003 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/cloudpickle/cloudpickle_fast.py:676(_dynamic_function_reduce)
        2    0.000    0.000    0.005    0.003 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/cloudpickle/cloudpickle_fast.py:168(_function_getstate)
       28    0.000    0.000    0.005    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/attr/_make.py:335(_make_attr_tuple_class)
       19    0.001    0.000    0.005    0.000 /usr/local/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/enum.py:497(__new__)
       14    0.000    0.000    0.005    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/PIL/Image.py:3189(open)
        1    0.000    0.000    0.005    0.005 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/aiohttp/http_writer.py:1(<module>)
       16    0.005    0.000    0.005    0.000 {method 'join' of 'bytes' objects}
    23218    0.005    0.000    0.005    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.005    0.005 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/prometheus_client/registry.py:1(<module>)
        1    0.000    0.000    0.004    0.004 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/usage/usage_lib.py:1(<module>)
       28    0.000    0.000    0.004    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/attr/_make.py:977(add_init)
        1    0.000    0.000    0.004    0.004 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/serialization.py:117(__init__)
        1    0.000    0.000    0.004    0.004 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/state.py:762(next_job_id)
        1    0.000    0.000    0.004    0.004 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/_private/state.py:185(next_job_id)
        1    0.000    0.000    0.004    0.004 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/yarl/__init__.py:1(<module>)
        1    0.000    0.000    0.004    0.004 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/frozenlist/__init__.py:1(<module>)
        1    0.000    0.000    0.004    0.004 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/ray/util/serialization_addons.py:76(apply)
        5    0.000    0.000    0.004    0.001 /usr/local/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/dataclasses.py:1219(wrap)
       28    0.000    0.000    0.004    0.000 /Users/armaan/venvs/rayenv/lib/python3.11/site-packages/attr/_make.py:2000(_make_init)
